workerId	tasktype	q_num	q_ans	guess	correct	err	age	gender	educ	chartuse	stats	resource	race	enjoyment	prescore	totaltime
va8jw86cx3exurvf0bmlsortrcqyc9wypb93md624y22o6r	rd_np	1	90	90	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	2	2141
va8jw86cx3exurvf0bmlsortrcqyc9wypb93md624y22o6r	rd_np	2	0	0	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	2	2141
va8jw86cx3exurvf0bmlsortrcqyc9wypb93md624y22o6r	rd_np	3	100	100	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	2	2141
va8jw86cx3exurvf0bmlsortrcqyc9wypb93md624y22o6r	rd_np	4	100	100	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	2	2141
va8jw86cx3exurvf0bmlsortrcqyc9wypb93md624y22o6r	rd_np	5	5	5	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	2	2141
va8jw86cx3exurvf0bmlsortrcqyc9wypb93md624y22o6r	rd_np	6	0	0	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	2	2141
va8jw86cx3exurvf0bmlsortrcqyc9wypb93md624y22o6r	rd_np	7	5	5	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	2	2141
va8jw86cx3exurvf0bmlsortrcqyc9wypb93md624y22o6r	rd_np	8	45	45	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	2	2141
h29vof1alm8hvb3jif6r1x7iwjlzbiw88koqytjvjwcdi	rd_np	1	90	90	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	1	1437
h29vof1alm8hvb3jif6r1x7iwjlzbiw88koqytjvjwcdi	rd_np	2	0	0	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	1	1437
h29vof1alm8hvb3jif6r1x7iwjlzbiw88koqytjvjwcdi	rd_np	3	100	100	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	1	1437
h29vof1alm8hvb3jif6r1x7iwjlzbiw88koqytjvjwcdi	rd_np	4	100	100	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	1	1437
h29vof1alm8hvb3jif6r1x7iwjlzbiw88koqytjvjwcdi	rd_np	5	5	5	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	1	1437
h29vof1alm8hvb3jif6r1x7iwjlzbiw88koqytjvjwcdi	rd_np	6	0	100	0	100	25	female	bach	rarely	often	no	white	somewhatEnjoyable	1	1437
h29vof1alm8hvb3jif6r1x7iwjlzbiw88koqytjvjwcdi	rd_np	7	5	5	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	1	1437
h29vof1alm8hvb3jif6r1x7iwjlzbiw88koqytjvjwcdi	rd_np	8	45	45	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	1	1437
2rznf2sev8pt1pidfpn20ggb9mvlwqmyrjoidu7effn9sy8pvi	rd_np	1	90	15	0	-75	35	female	grad	never	veryoften	no	white	somewhatEnjoyable	1	1559
2rznf2sev8pt1pidfpn20ggb9mvlwqmyrjoidu7effn9sy8pvi	rd_np	2	0	0	1	0	35	female	grad	never	veryoften	no	white	somewhatEnjoyable	1	1559
2rznf2sev8pt1pidfpn20ggb9mvlwqmyrjoidu7effn9sy8pvi	rd_np	3	100	0	0	-100	35	female	grad	never	veryoften	no	white	somewhatEnjoyable	1	1559
2rznf2sev8pt1pidfpn20ggb9mvlwqmyrjoidu7effn9sy8pvi	rd_np	4	100	20	0	-80	35	female	grad	never	veryoften	no	white	somewhatEnjoyable	1	1559
2rznf2sev8pt1pidfpn20ggb9mvlwqmyrjoidu7effn9sy8pvi	rd_np	5	5	2	0	-3	35	female	grad	never	veryoften	no	white	somewhatEnjoyable	1	1559
2rznf2sev8pt1pidfpn20ggb9mvlwqmyrjoidu7effn9sy8pvi	rd_np	6	0	0	1	0	35	female	grad	never	veryoften	no	white	somewhatEnjoyable	1	1559
2rznf2sev8pt1pidfpn20ggb9mvlwqmyrjoidu7effn9sy8pvi	rd_np	7	5	1	0	-4	35	female	grad	never	veryoften	no	white	somewhatEnjoyable	1	1559
2rznf2sev8pt1pidfpn20ggb9mvlwqmyrjoidu7effn9sy8pvi	rd_np	8	45	8	0	0	35	female	grad	never	veryoften	no	white	somewhatEnjoyable	1	1559
3lyk7dnamieelkj1xamw2vs4i229nm6ktkmubfi8c2zftuik9	rd_np	1	90	40	0	-50	55	male	grad	rarely	often	no	white	notatallEnjoyable	2	1208
3lyk7dnamieelkj1xamw2vs4i229nm6ktkmubfi8c2zftuik9	rd_np	2	0	1	0	1	55	male	grad	rarely	often	no	white	notatallEnjoyable	2	1208
3lyk7dnamieelkj1xamw2vs4i229nm6ktkmubfi8c2zftuik9	rd_np	3	100	90	0	-10	55	male	grad	rarely	often	no	white	notatallEnjoyable	2	1208
3lyk7dnamieelkj1xamw2vs4i229nm6ktkmubfi8c2zftuik9	rd_np	4	100	80	0	-20	55	male	grad	rarely	often	no	white	notatallEnjoyable	2	1208
3lyk7dnamieelkj1xamw2vs4i229nm6ktkmubfi8c2zftuik9	rd_np	5	5	20	0	15	55	male	grad	rarely	often	no	white	notatallEnjoyable	2	1208
3lyk7dnamieelkj1xamw2vs4i229nm6ktkmubfi8c2zftuik9	rd_np	6	0	20	0	20	55	male	grad	rarely	often	no	white	notatallEnjoyable	2	1208
3lyk7dnamieelkj1xamw2vs4i229nm6ktkmubfi8c2zftuik9	rd_np	7	5	40	0	35	55	male	grad	rarely	often	no	white	notatallEnjoyable	2	1208
3lyk7dnamieelkj1xamw2vs4i229nm6ktkmubfi8c2zftuik9	rd_np	8	45	40	0	20	55	male	grad	rarely	often	no	white	notatallEnjoyable	2	1208
peculav9snufab1z2xi27qfr92j1zwrdvwwiwpdm99f869a4i	rd_np	1	90	60	0	-30	35	female	bach	rarely	veryoften	no	white	moderatelyEnjoyable	3	1826
peculav9snufab1z2xi27qfr92j1zwrdvwwiwpdm99f869a4i	rd_np	2	0	5	0	5	35	female	bach	rarely	veryoften	no	white	moderatelyEnjoyable	3	1826
peculav9snufab1z2xi27qfr92j1zwrdvwwiwpdm99f869a4i	rd_np	3	100	95	0	-5	35	female	bach	rarely	veryoften	no	white	moderatelyEnjoyable	3	1826
peculav9snufab1z2xi27qfr92j1zwrdvwwiwpdm99f869a4i	rd_np	4	100	95	0	-5	35	female	bach	rarely	veryoften	no	white	moderatelyEnjoyable	3	1826
peculav9snufab1z2xi27qfr92j1zwrdvwwiwpdm99f869a4i	rd_np	5	5	20	0	15	35	female	bach	rarely	veryoften	no	white	moderatelyEnjoyable	3	1826
peculav9snufab1z2xi27qfr92j1zwrdvwwiwpdm99f869a4i	rd_np	6	0	5	0	5	35	female	bach	rarely	veryoften	no	white	moderatelyEnjoyable	3	1826
peculav9snufab1z2xi27qfr92j1zwrdvwwiwpdm99f869a4i	rd_np	7	5	20	0	15	35	female	bach	rarely	veryoften	no	white	moderatelyEnjoyable	3	1826
peculav9snufab1z2xi27qfr92j1zwrdvwwiwpdm99f869a4i	rd_np	8	45	30	0	5	35	female	bach	rarely	veryoften	no	white	moderatelyEnjoyable	3	1826
2jbf0f18akktbvdxg5dqme7b9zu5280vr7orq0kqbyc1tyy14i	rc_np	1	90	70	0	-20	45	female	bach	rarely	often	no	white	slightlyEnjoyable	0	1771
2jbf0f18akktbvdxg5dqme7b9zu5280vr7orq0kqbyc1tyy14i	rc_np	2	0	0.03	0	0.03	45	female	bach	rarely	often	no	white	slightlyEnjoyable	0	1771
2jbf0f18akktbvdxg5dqme7b9zu5280vr7orq0kqbyc1tyy14i	rc_np	3	100	90	0	-10	45	female	bach	rarely	often	no	white	slightlyEnjoyable	0	1771
2jbf0f18akktbvdxg5dqme7b9zu5280vr7orq0kqbyc1tyy14i	rc_np	4	100	0.03	0	-99.97	45	female	bach	rarely	often	no	white	slightlyEnjoyable	0	1771
2jbf0f18akktbvdxg5dqme7b9zu5280vr7orq0kqbyc1tyy14i	rc_np	5	5	20	0	15	45	female	bach	rarely	often	no	white	slightlyEnjoyable	0	1771
2jbf0f18akktbvdxg5dqme7b9zu5280vr7orq0kqbyc1tyy14i	rc_np	6	0	5	0	5	45	female	bach	rarely	often	no	white	slightlyEnjoyable	0	1771
2jbf0f18akktbvdxg5dqme7b9zu5280vr7orq0kqbyc1tyy14i	rc_np	7	5	35	0	30	45	female	bach	rarely	often	no	white	slightlyEnjoyable	0	1771
2jbf0f18akktbvdxg5dqme7b9zu5280vr7orq0kqbyc1tyy14i	rc_np	8	45	35	0	5	45	female	bach	rarely	often	no	white	slightlyEnjoyable	0	1771
6ynvxvy1appo2j03u105qgds4ilj5jkmf9gan7vvwr2yp4rhpvi	rd_np	1	90	78	0	-12	25	male	high	rarely	rarely	no	white	somewhatEnjoyable	0	1558
6ynvxvy1appo2j03u105qgds4ilj5jkmf9gan7vvwr2yp4rhpvi	rd_np	2	0	45	0	45	25	male	high	rarely	rarely	no	white	somewhatEnjoyable	0	1558
6ynvxvy1appo2j03u105qgds4ilj5jkmf9gan7vvwr2yp4rhpvi	rd_np	3	100	50	0	-50	25	male	high	rarely	rarely	no	white	somewhatEnjoyable	0	1558
6ynvxvy1appo2j03u105qgds4ilj5jkmf9gan7vvwr2yp4rhpvi	rd_np	4	100	45	0	-55	25	male	high	rarely	rarely	no	white	somewhatEnjoyable	0	1558
6ynvxvy1appo2j03u105qgds4ilj5jkmf9gan7vvwr2yp4rhpvi	rd_np	5	5	56	0	51	25	male	high	rarely	rarely	no	white	somewhatEnjoyable	0	1558
6ynvxvy1appo2j03u105qgds4ilj5jkmf9gan7vvwr2yp4rhpvi	rd_np	6	0	78	0	78	25	male	high	rarely	rarely	no	white	somewhatEnjoyable	0	1558
6ynvxvy1appo2j03u105qgds4ilj5jkmf9gan7vvwr2yp4rhpvi	rd_np	7	5	25	0	20	25	male	high	rarely	rarely	no	white	somewhatEnjoyable	0	1558
6ynvxvy1appo2j03u105qgds4ilj5jkmf9gan7vvwr2yp4rhpvi	rd_np	8	45	35	0	78	25	male	high	rarely	rarely	no	white	somewhatEnjoyable	0	1558
j5nqstwr91cslw7r21i6n7b9j81wjszszp8z1cbnxptzw7b9	rd_np	1	90	20	0	-70	25	male	bach	sometimes	often	no	white	notatallEnjoyable	4	2266
j5nqstwr91cslw7r21i6n7b9j81wjszszp8z1cbnxptzw7b9	rd_np	2	0	20	0	20	25	male	bach	sometimes	often	no	white	notatallEnjoyable	4	2266
j5nqstwr91cslw7r21i6n7b9j81wjszszp8z1cbnxptzw7b9	rd_np	3	100	20	0	-80	25	male	bach	sometimes	often	no	white	notatallEnjoyable	4	2266
j5nqstwr91cslw7r21i6n7b9j81wjszszp8z1cbnxptzw7b9	rd_np	4	100	20	0	-80	25	male	bach	sometimes	often	no	white	notatallEnjoyable	4	2266
j5nqstwr91cslw7r21i6n7b9j81wjszszp8z1cbnxptzw7b9	rd_np	5	5	20	0	15	25	male	bach	sometimes	often	no	white	notatallEnjoyable	4	2266
j5nqstwr91cslw7r21i6n7b9j81wjszszp8z1cbnxptzw7b9	rd_np	6	0	20	0	20	25	male	bach	sometimes	often	no	white	notatallEnjoyable	4	2266
j5nqstwr91cslw7r21i6n7b9j81wjszszp8z1cbnxptzw7b9	rd_np	7	5	20	0	15	25	male	bach	sometimes	often	no	white	notatallEnjoyable	4	2266
j5nqstwr91cslw7r21i6n7b9j81wjszszp8z1cbnxptzw7b9	rd_np	8	45	20	0	20	25	male	bach	sometimes	often	no	white	notatallEnjoyable	4	2266
xnpuc3xfb64jx2ayaurf6r4bd7z7n4c5uurrwip6n7o2bj4i	rd_np	1	90	30	0	-60	45	female	high	never	veryoften	no	white	notatallEnjoyable	0	636
xnpuc3xfb64jx2ayaurf6r4bd7z7n4c5uurrwip6n7o2bj4i	rd_np	2	0	25	0	25	45	female	high	never	veryoften	no	white	notatallEnjoyable	0	636
xnpuc3xfb64jx2ayaurf6r4bd7z7n4c5uurrwip6n7o2bj4i	rd_np	3	100	15	0	-85	45	female	high	never	veryoften	no	white	notatallEnjoyable	0	636
xnpuc3xfb64jx2ayaurf6r4bd7z7n4c5uurrwip6n7o2bj4i	rd_np	4	100	25	0	-75	45	female	high	never	veryoften	no	white	notatallEnjoyable	0	636
xnpuc3xfb64jx2ayaurf6r4bd7z7n4c5uurrwip6n7o2bj4i	rd_np	5	5	10	0	5	45	female	high	never	veryoften	no	white	notatallEnjoyable	0	636
xnpuc3xfb64jx2ayaurf6r4bd7z7n4c5uurrwip6n7o2bj4i	rd_np	6	0	15	0	15	45	female	high	never	veryoften	no	white	notatallEnjoyable	0	636
xnpuc3xfb64jx2ayaurf6r4bd7z7n4c5uurrwip6n7o2bj4i	rd_np	7	5	30	0	25	45	female	high	never	veryoften	no	white	notatallEnjoyable	0	636
xnpuc3xfb64jx2ayaurf6r4bd7z7n4c5uurrwip6n7o2bj4i	rd_np	8	45	25	0	15	45	female	high	never	veryoften	no	white	notatallEnjoyable	0	636
o2f1vxgzqkysnyiz3siiqw7b9zvzt46n53pfqwpd2j9e75jyvi	rd_np	1	90	25	0	-65	25	male	bach	rarely	often	no	white	moderatelyEnjoyable	4	809
o2f1vxgzqkysnyiz3siiqw7b9zvzt46n53pfqwpd2j9e75jyvi	rd_np	2	0	15	0	15	25	male	bach	rarely	often	no	white	moderatelyEnjoyable	4	809
o2f1vxgzqkysnyiz3siiqw7b9zvzt46n53pfqwpd2j9e75jyvi	rd_np	3	100	80	0	-20	25	male	bach	rarely	often	no	white	moderatelyEnjoyable	4	809
o2f1vxgzqkysnyiz3siiqw7b9zvzt46n53pfqwpd2j9e75jyvi	rd_np	4	100	20	0	-80	25	male	bach	rarely	often	no	white	moderatelyEnjoyable	4	809
o2f1vxgzqkysnyiz3siiqw7b9zvzt46n53pfqwpd2j9e75jyvi	rd_np	5	5	40	0	35	25	male	bach	rarely	often	no	white	moderatelyEnjoyable	4	809
o2f1vxgzqkysnyiz3siiqw7b9zvzt46n53pfqwpd2j9e75jyvi	rd_np	6	0	5	0	5	25	male	bach	rarely	often	no	white	moderatelyEnjoyable	4	809
o2f1vxgzqkysnyiz3siiqw7b9zvzt46n53pfqwpd2j9e75jyvi	rd_np	7	5	35	0	30	25	male	bach	rarely	often	no	white	moderatelyEnjoyable	4	809
o2f1vxgzqkysnyiz3siiqw7b9zvzt46n53pfqwpd2j9e75jyvi	rd_np	8	45	40	0	5	25	male	bach	rarely	often	no	white	moderatelyEnjoyable	4	809
95i3lftmt4u8vg5iclxmq85miumoftux7eumfsb400hpioogvi	rc_np	1	90	90	1	0	45	male	bach	rarely	often	no	white	somewhatEnjoyable	2	1588
95i3lftmt4u8vg5iclxmq85miumoftux7eumfsb400hpioogvi	rc_np	2	0	1	0	1	45	male	bach	rarely	often	no	white	somewhatEnjoyable	2	1588
95i3lftmt4u8vg5iclxmq85miumoftux7eumfsb400hpioogvi	rc_np	3	100	98	0	-2	45	male	bach	rarely	often	no	white	somewhatEnjoyable	2	1588
95i3lftmt4u8vg5iclxmq85miumoftux7eumfsb400hpioogvi	rc_np	4	100	99	0	-1	45	male	bach	rarely	often	no	white	somewhatEnjoyable	2	1588
95i3lftmt4u8vg5iclxmq85miumoftux7eumfsb400hpioogvi	rc_np	5	5	4	0	-1	45	male	bach	rarely	often	no	white	somewhatEnjoyable	2	1588
95i3lftmt4u8vg5iclxmq85miumoftux7eumfsb400hpioogvi	rc_np	6	0	1	0	1	45	male	bach	rarely	often	no	white	somewhatEnjoyable	2	1588
95i3lftmt4u8vg5iclxmq85miumoftux7eumfsb400hpioogvi	rc_np	7	5	10	0	5	45	male	bach	rarely	often	no	white	somewhatEnjoyable	2	1588
95i3lftmt4u8vg5iclxmq85miumoftux7eumfsb400hpioogvi	rc_np	8	45	45	1	0	45	male	bach	rarely	often	no	white	somewhatEnjoyable	2	1588
ykkx0ssee3lvfzoosnz8h0k9f3d8qf0urarb1apctxpmish5mi	rd_np	1	90	60	0	-30	25	female	grad	sometimes	sometimes	no	white	moderatelyEnjoyable	4	1224
ykkx0ssee3lvfzoosnz8h0k9f3d8qf0urarb1apctxpmish5mi	rd_np	2	0	10	0	10	25	female	grad	sometimes	sometimes	no	white	moderatelyEnjoyable	4	1224
ykkx0ssee3lvfzoosnz8h0k9f3d8qf0urarb1apctxpmish5mi	rd_np	3	100	85	0	-15	25	female	grad	sometimes	sometimes	no	white	moderatelyEnjoyable	4	1224
ykkx0ssee3lvfzoosnz8h0k9f3d8qf0urarb1apctxpmish5mi	rd_np	4	100	90	0	-10	25	female	grad	sometimes	sometimes	no	white	moderatelyEnjoyable	4	1224
ykkx0ssee3lvfzoosnz8h0k9f3d8qf0urarb1apctxpmish5mi	rd_np	5	5	20	0	15	25	female	grad	sometimes	sometimes	no	white	moderatelyEnjoyable	4	1224
ykkx0ssee3lvfzoosnz8h0k9f3d8qf0urarb1apctxpmish5mi	rd_np	6	0	5	0	5	25	female	grad	sometimes	sometimes	no	white	moderatelyEnjoyable	4	1224
ykkx0ssee3lvfzoosnz8h0k9f3d8qf0urarb1apctxpmish5mi	rd_np	7	5	5	1	0	25	female	grad	sometimes	sometimes	no	white	moderatelyEnjoyable	4	1224
ykkx0ssee3lvfzoosnz8h0k9f3d8qf0urarb1apctxpmish5mi	rd_np	8	45	30	0	5	25	female	grad	sometimes	sometimes	no	white	moderatelyEnjoyable	4	1224
p9j0tas2di5lhxvfw3bfyldi7q45c9zombm9cbm8ptxjb2csor	rd_np	1	90	60	0	-30	25	male	high	rarely	often	no	white	slightlyEnjoyable	2	3160
p9j0tas2di5lhxvfw3bfyldi7q45c9zombm9cbm8ptxjb2csor	rd_np	2	0	5	0	5	25	male	high	rarely	often	no	white	slightlyEnjoyable	2	3160
p9j0tas2di5lhxvfw3bfyldi7q45c9zombm9cbm8ptxjb2csor	rd_np	3	100	90	0	-10	25	male	high	rarely	often	no	white	slightlyEnjoyable	2	3160
p9j0tas2di5lhxvfw3bfyldi7q45c9zombm9cbm8ptxjb2csor	rd_np	4	100	85	0	-15	25	male	high	rarely	often	no	white	slightlyEnjoyable	2	3160
p9j0tas2di5lhxvfw3bfyldi7q45c9zombm9cbm8ptxjb2csor	rd_np	5	5	20	0	15	25	male	high	rarely	often	no	white	slightlyEnjoyable	2	3160
p9j0tas2di5lhxvfw3bfyldi7q45c9zombm9cbm8ptxjb2csor	rd_np	6	0	10	0	10	25	male	high	rarely	often	no	white	slightlyEnjoyable	2	3160
p9j0tas2di5lhxvfw3bfyldi7q45c9zombm9cbm8ptxjb2csor	rd_np	7	5	15	0	10	25	male	high	rarely	often	no	white	slightlyEnjoyable	2	3160
p9j0tas2di5lhxvfw3bfyldi7q45c9zombm9cbm8ptxjb2csor	rd_np	8	45	30	0	10	25	male	high	rarely	often	no	white	slightlyEnjoyable	2	3160
o4w21nx7l0rbqa7ii074aemi3f4fgc4ama3nh8gvdiin5ng66r	rd_np	1	90	70	0	-20	25	male	bach	often	sometimes	no	other	somewhatEnjoyable	4	971
o4w21nx7l0rbqa7ii074aemi3f4fgc4ama3nh8gvdiin5ng66r	rd_np	2	0	3	0	3	25	male	bach	often	sometimes	no	other	somewhatEnjoyable	4	971
o4w21nx7l0rbqa7ii074aemi3f4fgc4ama3nh8gvdiin5ng66r	rd_np	3	100	95	0	-5	25	male	bach	often	sometimes	no	other	somewhatEnjoyable	4	971
o4w21nx7l0rbqa7ii074aemi3f4fgc4ama3nh8gvdiin5ng66r	rd_np	4	100	97	0	-3	25	male	bach	often	sometimes	no	other	somewhatEnjoyable	4	971
