workerId	tasktype	q1	q1correct	q1err	q2	q2correct	q2err	q3	q3correct	q3err	q4	q4correct	q4err	q5	q5correct	q5err	q6	q6correct	q6err	q7	q7correct	q7err	q8	q8correct	q8err	age	gender	educ	chartuse	stats	resource	race	enjoyment	preq1	preq2a	preq2b	preq3	prescore	totaltime
va8jw86cx3exurvf0bmlsortrcqyc9wypb93md624y22o6r	rd_np	90	1	0	0	1	0	100	1	0	100	1	0	5	1	0	0	1	0	5	1	0	45	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	25	30	23	80	2	2141
h29vof1alm8hvb3jif6r1x7iwjlzbiw88koqytjvjwcdi	rd_np	90	1	0	0	1	0	100	1	0	100	1	0	5	1	0	100	0	100	5	1	0	45	1	0	25	female	bach	rarely	often	no	white	somewhatEnjoyable	0.25	30	23	0.04	1	1437
2rznf2sev8pt1pidfpn20ggb9mvlwqmyrjoidu7effn9sy8pvi	rd_np	15	0	-75	0	1	0	0	0	-100	20	0	-80	2	0	-3	0	1	0	1	0	-4	8	0	-37	35	female	grad	never	veryoften	no	white	somewhatEnjoyable	20	10	20	100	1	1559
3lyk7dnamieelkj1xamw2vs4i229nm6ktkmubfi8c2zftuik9	rd_np	40	0	-50	1	0	1	90	0	-10	80	0	-20	20	0	15	20	0	20	40	0	35	40	0	-5	55	male	grad	rarely	often	no	white	notatallEnjoyable	25	30	22	4	2	1208
peculav9snufab1z2xi27qfr92j1zwrdvwwiwpdm99f869a4i	rd_np	60	0	-30	5	0	5	95	0	-5	95	0	-5	20	0	15	5	0	5	20	0	15	30	0	-15	35	female	bach	rarely	veryoften	no	white	moderatelyEnjoyable	25	30	20	4	3	1826
2jbf0f18akktbvdxg5dqme7b9zu5280vr7orq0kqbyc1tyy14i	rc_np	70	0	-20	0.03	0	0.03	90	0	-10	0.03	0	-99.97	20	0	15	5	0	5	35	0	30	35	0	-10	45	female	bach	rarely	often	no	white	slightlyEnjoyable	10	60	33	4.2	0	1771
6ynvxvy1appo2j03u105qgds4ilj5jkmf9gan7vvwr2yp4rhpvi	rd_np	78	0	-12	45	0	45	50	0	-50	45	0	-55	56	0	51	78	0	78	25	0	20	35	0	-10	25	male	high	rarely	rarely	no	white	somewhatEnjoyable	30	25	35	20	0	1558
j5nqstwr91cslw7r21i6n7b9j81wjszszp8z1cbnxptzw7b9	rd_np	20	0	-70	20	0	20	20	0	-80	20	0	-80	20	0	15	20	0	20	20	0	15	20	0	-25	25	male	bach	sometimes	often	no	white	notatallEnjoyable	25	30	20	50	4	2266
xnpuc3xfb64jx2ayaurf6r4bd7z7n4c5uurrwip6n7o2bj4i	rd_np	30	0	-60	25	0	25	15	0	-85	25	0	-75	10	0	5	15	0	15	30	0	25	25	0	-20	45	female	high	never	veryoften	no	white	notatallEnjoyable	15	12	35	12	0	636
o2f1vxgzqkysnyiz3siiqw7b9zvzt46n53pfqwpd2j9e75jyvi	rd_np	25	0	-65	15	0	15	80	0	-20	20	0	-80	40	0	35	5	0	5	35	0	30	40	0	-5	25	male	bach	rarely	often	no	white	moderatelyEnjoyable	25	30	20	50	4	809
