workerId	condition	nballs	nbins	binint	binx	binprob	sumTo100	dist_vals	task
n5a50wxir2qi4lix5iv0a4i878ix5xm4s5tcwqe8le2n8kt9	rd_np		10	50	NA	"0,0,0,10,25,30,25,10,0,0"	1	175_175_225_225_225_225_225_275_275_275_275_275_275_325_325_325_325_325_375_375	recall
217yqze545fa4sk8wx2p22o6rixi0oste11qvc0p2rcsfhto6r	rd_np		10	50	NA	"0,0,5,10,15,20,15,10,5,0"	0	125_175_175_225_225_225_275_275_275_275_325_325_325_375_375_425	recall
vo8zpy3n1xjh0nth53i110pb91vw8a0q21w9e4obiacrxp3nmi	rd_np		10	50	NA	"0,5,5,15,25,25,15,5,5,0"	1	75_125_175_175_175_225_225_225_225_225_275_275_275_275_275_325_325_325_375_425	recall
t9xu6e7bdokxyujwbcnpcik957edwhdk0b0z3ea1xky3yaxlxr	rd_np		10	50	NA	"0,0,0,5,45,45,5,0,0,0"	1	175_225_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_275_325	recall
puijmwvaqoz4mfsef1p3tbj4iwafb55zt3jidbgwdna9bpgb9	rd_np		10	50	NA	"0,0,0,25,25,25,25,0,0,0"	1	175_175_175_175_175_225_225_225_225_225_275_275_275_275_275_325_325_325_325_325	recall
13yhu7z0a03h688h17ocn5ewmi6k9q6bsyy0b5ca3puygt1q0k9	rd_np		10	50	NA	"0,0,0,40,0,0,60,0,0,0"	1	175_175_175_175_175_175_175_175_325_325_325_325_325_325_325_325_325_325_325_325	recall
cegxiqnzb7vqgkowlndygb9k4ig44kqhulmzpnycdb8iwwmi	rd_np		10	50	NA	"0,0,0,5,45,45,5,0,0,0"	1	175_225_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_275_325	recall
x4cuas5huntmqzwwxafrsh5mibneyur2atl35y7zov0x315rk9	rd_np		10	50	NA	"0,0,0,5,45,45,5,0,0,0"	1	175_225_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_275_325	recall
ljpjczyw3k8dzjcj9cf2yb9q63e7gm5mdltdnq050s51xlxr	rd_np		10	50	NA	"0,0,0,15,20,30,20,15,0,0"	1	175_175_175_225_225_225_225_275_275_275_275_275_275_325_325_325_325_375_375_375	recall
3k41j34rclflxcdgd3wpsw0zfrlo5qsvdjgi2relge3iynzh0k9	rd_np		10	50	NA	"5,5,5,5,30,30,5,5,5,5"	1	25_75_125_175_225_225_225_225_225_225_275_275_275_275_275_275_325_375_425_475	recall
g18r6lfa6cos97smqt2h2gldimztcpn2z2csvda2zcoipphkt9	rd_np		10	50	NA	"0,5,5,10,30,30,10,5,5,0"	1	75_125_175_175_225_225_225_225_225_225_275_275_275_275_275_275_325_325_375_425	recall
ff5falzwvzsay0zoxh0nt57b9ww0py3so0wz2gmvsay9fi529	rd_np		10	50	NA	"5,10,10,15,20,15,10,10,5,0"	1	25_75_75_125_125_175_175_175_225_225_225_225_275_275_275_325_325_375_375_425	recall
cof0dli29wafxmfy7pcf03sor5u5cqwdz3mhxzmjj88q9qkt9	rd_np		10	50	NA	"0,5,10,15,20,20,15,10,5,0"	1	75_125_125_175_175_175_225_225_225_225_275_275_275_275_325_325_325_375_375_425	recall
0oqloy6btwbv0114ri338ilik97lee80bsxk4p4gd7h40kg4aemi	rd_np		10	50	NA	"0,0,0,15,35,35,15,0,0,0"	1	175_175_175_225_225_225_225_225_225_225_275_275_275_275_275_275_275_325_325_325	recall
zqfbg2b8vh2nhvanmgr5dn29kutmrquvqkzpxn8jasdzpvi	rd_np		10	50	NA	"0,5,5,10,15,25,15,10,5,5"	0	75_125_175_175_225_225_225_275_275_275_275_275_325_325_325_375_375_425_475	recall
o4w21nx7l0rbqa7ii074aemi3f4fgc4ama3nh8gvdiin5ng66r	rd_np		10	50	NA	"5,20,50,20,5,0,0,0,0,0"	1	25_75_75_75_75_125_125_125_125_125_125_125_125_125_125_175_175_175_175_225	recall
m07mx3eb0c8q2ndfj8snvobt9ut0o6a271alu1tk5azss5g66r	rd_np		10	50	NA	"0,0,0,5,45,45,5,0,0,0"	1	175_225_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_275_325	recall
xnpuc3xfb64jx2ayaurf6r4bd7z7n4c5uurrwip6n7o2bj4i	rd_np		10	50	NA	"5,5,5,10,15,10,10,15,10,10"	0	25_75_125_175_175_225_225_225_275_275_325_325_375_375_375_425_425_475_475	recall
k0wco5v1if0mqfdjs1eeo2yb9mgpv7u5swcw9gtri358livn29	rd_np		10	50	NA	"0,0,5,15,60,15,5,0,0,0"	1	125_175_175_175_225_225_225_225_225_225_225_225_225_225_225_225_275_275_275_325	recall
mot3dmtxafayucruv343u9pb9tzxoabkrcivutmhtr1nz8h0k9	rd_np		10	50	NA	"0,0,5,10,15,40,15,10,5,0"	1	125_175_175_225_225_225_275_275_275_275_275_275_275_275_325_325_325_375_375_425	recall
pxf7lcw9oad9z3azl11bdquxr3am9d6e7kyhjktkvq54auzyqfr	rd_np		10	50	NA	"0,25,0,55,0,15,5,0,0,0"	1	75_75_75_75_75_175_175_175_175_175_175_175_175_175_175_175_275_275_275_325	recall
2rznf2sev8pt1pidfpn20ggb9mvlwqmyrjoidu7effn9sy8pvi	rd_np		10	50	NA	"0,0,5,5,40,40,5,5,0,0"	1	125_175_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_325_375	recall
wi9znl8ibvs61tsuc05tawcdi4pmq6eavmq4w048s7bsxlxr	rd_np		10	50	NA	"5,10,5,5,15,5,10,5,20,10"	0	25_75_75_125_175_225_225_225_275_325_325_375_425_425_425_425_475_475	recall
j5nqstwr91cslw7r21i6n7b9j81wjszszp8z1cbnxptzw7b9	rd_np		10	50	NA	"0,0,0,0,30,0,30,0,0,0"	0	225_225_225_225_225_225_325_325_325_325_325_325	recall
gngmiixna68n5g56b4bzkt9670atyp2zb19kdddrbp8axajor	rd_np		10	50	NA	"0,0,5,15,20,25,20,10,5,0"	1	125_175_175_175_225_225_225_225_275_275_275_275_275_325_325_325_325_375_375_425	recall
jauisgp56195r9qm7lueopqfrkzy64erio6g48b88te9jp2e29	rd_np		10	50	NA	"0,0,0,10,25,30,25,10,0,0"	1	175_175_225_225_225_225_225_275_275_275_275_275_275_325_325_325_325_325_375_375	recall
obpqmvnhinp6zoswvsosf9a4isyvzrv8j82n19xpgyyrgrpb9	rd_np		10	50	NA	"0,0,0,15,35,35,15,0,0,0"	1	175_175_175_225_225_225_225_225_225_225_275_275_275_275_275_275_275_325_325_325	recall
