email	condition	nballs	nbins	binint	binprob	slider	time	order	nresponsebin
482A3DF70AED5BB9	paintdragtop20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	12	21.551	5	10
C5FA7EB0504E7986	paintdragtop20	20	10	2	"10,10,10,10,10,10,10,10,10,10"	100	12.511	5	10
2DF430233663C62F	paintdragtop20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	80	19.574	3	10
FE1405E199C647FB	paintdragtop20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	65	21.45	3	10
5A479192EFB57641	paintdragtop20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	77	42.055	5	10
E1FBB1E729063FCD	paintdragtop20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	65	26.131	5	10
5BEBD1D6F47C64A8	paintdragtop20	20	10	2	"10,10,10,10,15,15,10,5,10,5"	30	28.408	5	10
6230CDEA914F7DD3	paintdragtop20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	74	107.826	1	10
1F973EF4D9F8E10F	paintdragtop20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	69	42.779	5	10
A90A19B864E757DD	paintdragtop20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	82	51.718	5	10
82111E0F52A33D4D	paintdragtop20	20	10	2	"5,5,5,20,5,5,20,5,5,5"	33	28.97	1	10
A90A19B864E757DD	addclick20	20	10	2	"5,5,10,15,25,15,10,5,5,0"	53	73.352	3	10
47A7455E4A5FD13A	addclick20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	72	44.311	3	10
47DED75376B3A12D	addclick20	20	10	2	"0,0,0,0,25,45,25,5,0,0"	24	156.597	1	10
F0EFC9A48942C343	addclick20	20	10	2	"0,0,5,15,30,25,15,5,5,0"	50	81.736	1	10
1F973EF4D9F8E10F	addclick20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	35	29.504	3	10
3B0F5E110BDF2F19	addclick20	20	10	2	"0,0,0,10,25,30,25,10,0,0"	17	29.311	5	10
FE1405E199C647FB	addclick20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	27	99.165	1	10
CDC4B4AEDDEAC3C6	addclick20	20	10	2	"0,0,5,15,20,25,20,15,0,0"	3	74.171	1	10
33024688749CB540	addclick20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	39	147.921	1	10
87F02522502BC4F9	addclick20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	29	93.409	1	10
482A3DF70AED5BB9	addclick20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	82	108.128	1	10
14370A173ECA82CA	addclick20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	0	58.034	5	10
0ED6C8DFFBA16774	addclick20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	0	100.841	1	10
6230CDEA914F7DD3	addclick20	20	10	2	"0,0,0,15,35,35,15,0,0,0"	12	22.838	5	10
0D0419BB9C5ACD71	addclick20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	55	108.997	1	10
B20449427763C0D4	addclick20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	12	47.713	3	10
D7E1D296F63F84E8	addclick20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	100	77.558	1	10
8B277BBD0FFE5974	pullup100	100	20	1	"1,1,1,1,2,3,5,7,10,13,13,10,7,5,3,2,1,1,1,1"	18	46.805	4	20
439126BBC01063A9	pullup100	100	20	1	"2,2,2,2,2,4,5,7,11,13,13,11,7,5,4,2,2,2,2,2"	13	176.371	4	20
84E1DC7872148B47	pullup100	100	20	1	"2,2,2,2,3,4,6,8,10,11,11,10,8,6,4,3,2,2,2,2"	72	181.881	2	20
0D0419BB9C5ACD71	pullup100	100	20	1	"1,1,1,1,2,3,6,9,12,14,14,12,9,6,3,2,1,1,1,1"	88	239.281	4	20
D7E1D296F63F84E8	pullup100	100	20	1	"1,1,1,1,1,2,6,9,13,15,15,13,9,6,2,1,1,1,1,1"	30	85.888	6	20
B20449427763C0D4	pullup100	100	20	1	"0,1,1,1,2,3,5,8,12,17,17,12,8,5,3,2,1,1,1,0"	40	259.559	6	20
5BEBD1D6F47C64A8	pullup100	100	20	1	"1,2,3,6,0,0,10,0,0,17,17,17,0,0,10,0,6,3,2,1"	3	49.432	4	20
0ED6C8DFFBA16774	pullup100	100	20	1	"1,1,1,2,3,4,6,8,11,13,13,11,8,6,4,3,2,1,1,1"	73	86.048	4	20
6230CDEA914F7DD3	pullup100	100	20	1	"0,0,0,0,2,4,7,9,13,15,15,13,9,7,4,2,0,0,0,0"	40	56.491	4	20
DD1E3A11AE37BA7D	pullup100	100	20	1	"1,1,1,1,2,3,5,9,13,14,14,13,9,5,3,2,1,1,1,1"	16	115.5	6	20
F7C3960957180867	pullup100	100	20	1	"0,0,0,0,1,2,5,9,14,19,19,14,9,5,2,1,0,0,0,0"	69	190.857	2	20
82111E0F52A33D4D	pullup100	100	20	1	"0,0,0,0,0,1,2,3,5,6,7,6,5,4,3,2,1,0,0,0"	74	31.281	6	20
33024688749CB540	pullup100	100	20	1	"1,1,1,1,2,4,6,9,11,14,14,11,9,6,4,2,1,1,1,1"	83	455.77	4	20
3B0F5E110BDF2F19	pullup100	100	20	1	"0,0,0,0,1,3,6,9,11,13,14,13,11,9,6,3,1,0,0,0"	82	53.421	2	20
E1FBB1E729063FCD	pullup100	100	20	1	"0,0,0,1,2,3,5,9,13,17,17,13,9,5,3,2,1,0,0,0"	77	165.055	2	20
1F973EF4D9F8E10F	pullup100	100	20	1	"1,1,2,3,3,5,6,8,10,11,11,10,8,6,5,3,3,2,1,1"	59	176.778	2	20
47DED75376B3A12D	pullup100	100	20	1	"1,1,1,2,3,4,6,8,10,12,14,13,10,7,5,2,1,0,0,0"	100	112.264	4	20
5BEBD1D6F47C64A8	paintdragtop100	100	20	1	"1,1,1,2,1,2,2,3,6,3,3,2,4,3,2,1,1,1,2,1"	3	11.848	6	20
6230CDEA914F7DD3	paintdragtop100	100	20	1	"0,0,0,1,3,5,7,10,11,13,13,11,10,7,5,3,1,0,0,0"	74	559.408	2	20
1F973EF4D9F8E10F	paintdragtop100	100	20	1	"1,1,2,2,3,4,6,8,10,13,13,10,8,6,4,3,2,2,1,1"	5	104.805	6	20
A90A19B864E757DD	paintdragtop100	100	20	1	"1,1,1,1,2,4,6,8,9,10,10,9,8,6,4,2,1,1,1,0"	95	87.055	6	20
82111E0F52A33D4D	paintdragtop100	100	20	1	"1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1"	34	45.105	2	20
482A3DF70AED5BB9	paintdragtop100	100	20	1	"1,1,1,2,2,4,7,9,11,12,12,11,9,7,4,2,2,1,1,1"	12	267.469	6	20
C5FA7EB0504E7986	paintdragtop100	100	20	1	"4,5,5,5,5,6,5,5,6,5,5,5,6,5,5,5,5,4,5,4"	100	25.324	6	20
2DF430233663C62F	paintdragtop100	100	20	1	"1,1,1,2,2,4,6,8,11,14,14,11,8,6,4,2,2,1,1,1"	82	121.602	4	20
FE1405E199C647FB	paintdragtop100	100	20	1	"1,1,1,2,2,3,5,8,12,15,15,12,8,5,3,2,2,1,1,1"	32	135.375	4	20
5A479192EFB57641	paintdragtop100	100	20	1	"1,1,1,2,2,3,3,5,9,11,11,9,5,3,3,2,2,1,1,1"	91	127.04	6	20
E1FBB1E729063FCD	paintdragtop100	100	20	1	"0,0,1,1,2,4,6,9,12,15,15,12,9,6,4,2,1,1,0,0"	81	95.082	6	20
DD1E3A11AE37BA7D	paintdrag20	20	10	2	"5,5,5,15,20,20,15,5,5,5"	69	75.995	1	10
5BEBD1D6F47C64A8	paintdrag20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	3	37.393	1	10
F0EFC9A48942C343	paintdrag20	20	10	2	"0,0,0,10,15,25,25,15,10,0"	50	69.876	3	10
0ED6C8DFFBA16774	paintdrag20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	99	23.676	5	10
F7C3960957180867	paintdrag20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	80	46.829	3	10
47DED75376B3A12D	paintdrag20	20	10	2	"0,0,5,15,20,25,20,10,0,0"	59	31.922	5	10
14370A173ECA82CA	paintdrag20	20	10	2	"5,5,5,10,15,30,15,10,5,5"	36	39.3	3	10
E5EABE50B37DFAE8	paintdrag20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	30	124.145	5	10
C5FA7EB0504E7986	paintdrag20	20	10	2	"50,50,0,0,0,0,0,0,0,0"	100	63.022	1	10
2DF430233663C62F	paintdrag20	20	10	2	"0,5,5,10,30,30,10,5,5,0"	40	32.095	5	10
5B89D5876223D5D6	paintdrag20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	51	52.275	5	10
D7E1D296F63F84E8	paintdrag20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	3	103.061	3	10
CDC4B4AEDDEAC3C6	paintdrag20	20	10	2	"0,0,20,20,25,20,20,0,0,0"	3	6.549	3	10
C5FA7EB0504E7986	paintdrag100	100	20	1	"18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"	100	33.939	2	20
2DF430233663C62F	paintdrag100	100	20	1	"1,2,2,3,3,4,5,5,10,15,15,10,5,5,4,3,3,2,2,1"	25	45.827	6	20
