email	condition	nballs	nbins	binint	binprob	slider	time	order	nresponsebin
E673DB302DE3FAE7	addclick20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	50	57.001	NA	10
D39C7DA84DB3E471	addclick20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	15	92.045	3	10
612E34B7B2F1EC39	addclick20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	66	99.602	1	10
F4AF810FDD940945	addclick20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	93	60.605	1	10
0ECD4B30FBFD47EE	addclick20	20	10	2	"0,5,5,10,20,30,20,5,5,0"	23	72.848	1	10
F3E9B51A6B1E3D3B	addclick20	20	10	2	"0,0,5,15,20,25,20,10,5,0"	14	26.537	5	10
7BE8CFCFF4293572	addclick20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	72	125.601	5	10
416D6A1F48195C10	addclick20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	30	160.724	1	10
7C1B33341CE7A1EF	addclick20	20	10	2	"0,0,0,5,25,40,25,5,0,0"	41	85.649	5	10
9EC114F18BE85650	addclick20	20	10	2	"5,5,10,15,20,15,10,5,5,5"	0	44.155	3	10
90B01147FF48D1EB	addclick20	20	10	2	"5,5,5,15,15,20,15,10,5,5"	58	98.426	1	10
DE09C51C36A53B80	addclick20	20	10	2	"5,5,10,10,15,20,15,10,5,5"	19	70.885	1	10
74987EE3CB71C1E7	addclick20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	23	84.523	3	10
CC28BB1BA02F9A1B	addclick20	20	10	2	"0,0,5,15,35,25,15,5,0,0"	62	54.399	1	10
59E42276E5414454	addclick20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	94	179.027	3	10
475AAB95ED4AC8C2	addclick20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	65	56.003	1	10
FFCA3F698C71ACE8	addclick20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	13	35.13	5	10
D72D8D4E0C1C8E32	addclick20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	9	61.204	5	10
6F3D5655E64D51C9	addclick20	20	10	2	"5,5,5,10,15,20,15,5,5,5"	50	38.444	3	10
183B5509F5ED042A	addclick20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	28	64.128	3	10
F04EB958F2394B86	addclick20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	74	60.874	1	10
EA184C48686D4C93	addclick20	20	10	2	"0,0,5,5,20,45,20,5,0,0"	35	202.37	1	10
F70D8199720BDEC8	addclick20	20	10	2	"5,5,10,10,20,20,10,10,5,5"	11	163.879	1	10
71B8F88DA13E400E	addclick20	20	10	2	"0,0,0,5,25,40,25,5,0,0"	99	130.103	1	10
7A17236D366EC51C	addclick20	20	10	2	"0,5,10,25,50,55,35,15,5,0"	69	147.446	NA	10
F14FF52C4FD969C5	addclick20	20	10	2	"0,0,5,5,30,30,5,5,0,0"	5	81.455	1	10
7D55D8AB9D518C65	addclick20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	58	26.408	3	10
64E3A4D1C5D96356	addclick20	20	10	2	"0,0,15,20,25,20,15,0,0,0"	8	31.982	5	10
0CD176CFF208A236	addclick20	20	10	2	"5,5,5,20,25,20,5,5,5,5"	30	104.373	3	10
B384045A6F0A418A	addclick20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	74	40.358	5	10
0743F1ABFA1AC4BF	addclick20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	23	146.605	1	10
196FA4E226F24211	addclick20	20	10	2	"5,5,10,15,20,15,10,10,5,5"	95	85.129	3	10
AE4A0A750832690B	addclick20	20	10	2	"5,5,15,25,35,25,0,0,0,0"	9	24.501	5	10
12257F761CE07439	addclick20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	19	113.916	1	10
3DC3A0497E50AF71	addclick20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	49	52.566	1	10
A073DB47E66C7412	addclick20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	13	202.238	1	10
A3B1F0686F9ADB9D	addclick20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	32	102.604	1	10
089393EC118E0A92	addclick20	20	10	2	"0,0,5,20,25,25,20,5,0,0"	50	52.236	3	10
C8121D5CAC7631E6	paintdrag20	20	10	2	"5,5,5,10,10,40,10,10,5,5"	40	36.676	NA	10
45385A9A6D7922E5	paintdrag20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	70	41.507	1	10
7A17236D366EC51C	paintdrag20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	87	21.364	NA	10
F1968B16023D3008	paintdrag20	20	10	2	"5,5,5,15,20,20,15,5,5,5"	37	40.16	NA	10
64E3A4D1C5D96356	paintdrag20	20	10	2	"0,0,15,35,40,40,35,15,0,0"	2	62.27	3	10
0248D5692056A630	paintdrag20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	17	24.166	1	10
4D54F04A1858B7B1	paintdrag20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	9	133.325	1	10
73846C4EE9DF2DE0	paintdrag20	20	10	2	"5,5,5,20,0,35,0,20,5,5"	74	67.029	1	10
B254EDE86152606A	paintdrag20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	74	57.167	1	10
C0E68C4C4DF1ABF6	paintdrag20	20	10	2	"5,5,10,10,20,20,10,10,5,5"	62	83.935	1	10
F50101555758A11A	paintdrag20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	8	135.9	1	10
0743F1ABFA1AC4BF	paintdrag20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	32	64.554	3	10
3B2BEA628FF2AB21	paintdrag20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	0	56.201	1	10
2CF0E123D3322FA0	paintdrag20	20	10	2	"5,5,5,15,20,20,15,5,5,5"	29	177.771	1	10
C7045B4FD30A1A05	paintdrag20	20	10	2	"5,5,5,5,15,35,15,5,5,5"	65	57.864	1	10
EDFAFA433755A74D	paintdrag20	20	10	2	"5,5,5,5,30,30,5,5,5,5"	60	17.123	5	10
37427A43350823D9	paintdrag20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	62	163.744	1	10
12257F761CE07439	paintdrag20	20	10	2	"5,5,5,10,15,30,15,5,5,5"	56	539.069	3	10
9E7ECDBADBFF81E0	paintdrag20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	96	88.587	1	10
266CFED8CE95C948	paintdrag20	20	10	2	"5,5,5,10,30,20,10,5,5,5"	23	119.179	1	10
CC28BB1BA02F9A1B	paintdrag20	20	10	2	"0,0,10,15,30,25,15,5,0,0"	37	46.561	3	10
A3B1F0686F9ADB9D	paintdrag20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	61	34.456	3	10
FFCA3F698C71ACE8	paintdrag20	20	10	2	"0,5,5,10,30,30,10,5,5,0"	21	39.167	3	10
D41BB0528F9CEA36	paintdrag20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	69	58.352	1	10
61C705C97D7A9271	paintdrag20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	25	109.749	1	10
F04EB958F2394B86	paintdrag20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	30	38.071	5	10
BC77D9954D9731A8	paintdrag20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	65	30.378	1	10
0E4739B0026C339B	paintdrag20	20	10	2	"0,5,10,15,15,25,15,10,5,0"	50	46.553	1	10
E673DB302DE3FAE7	paintdragtop20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	50	45.448	NA	10
BC77D9954D9731A8	paintdragtop20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	44	58.984	5	10
6E0BA03B51185F0F	paintdragtop20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	56	87.099	5	10
183B5509F5ED042A	paintdragtop20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	26	74.484	5	10
D72D8D4E0C1C8E32	paintdragtop20	20	10	2	"5,5,15,20,5,5,20,15,5,5"	14	61.975	1	10
61C705C97D7A9271	paintdragtop20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	28	33.533	5	10
D41BB0528F9CEA36	paintdragtop20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	89	24.857	5	10
031BC9A6BC5E6898	paintdragtop20	20	10	2	"5,5,5,30,5,5,30,5,5,5"	10	35.77	5	10
7C1B33341CE7A1EF	paintdragtop20	20	10	2	"5,5,10,15,20,5,20,10,5,5"	16	92.641	1	10
266CFED8CE95C948	paintdragtop20	20	10	2	"5,5,5,5,20,25,20,5,5,5"	30	50.834	5	10
23F97CFE942A3928	paintdragtop20	20	10	2	"5,5,5,30,5,5,5,30,5,5"	36	126.367	5	10
CDF296B8CA338701	paintdragtop20	20	10	2	"5,5,5,5,20,25,20,5,5,5"	9	25.373	5	10
B7449DC448E7167B	paintdragtop20	20	10	2	"5,5,5,10,10,5,10,10,5,5"	62	74.421	5	10
7BE8CFCFF4293572	paintdragtop20	20	10	2	"5,5,5,20,5,20,5,5,5,5"	34	243.141	1	10
A0678961DE4ADFF9	paintdragtop20	20	10	2	"0,0,5,5,25,30,25,5,5,0"	62	33.04	5	10
C0E68C4C4DF1ABF6	paintdragtop20	20	10	2	"5,5,10,20,10,10,20,10,5,5"	15	166.491	5	10
F7230D4DC2B77D35	paintdragtop20	20	10	2	"0,0,5,5,35,10,35,5,5,0"	90	90.054	5	10
45385A9A6D7922E5	paintdragtop20	20	10	2	"5,5,5,10,15,20,15,10,5,5"	76	48.454	5	10
